REF_DATE,GEO,DGUID,Categories,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1994-07,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,321194,NA,NA,NA,0
1994-07,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,6799,NA,NA,NA,0
1994-07,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,2497,NA,NA,NA,0
1994-07,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,14,NA,NA,NA,0
1994-07,Canada,2016A000011124,Mortgages - financial flow,Dollars,81,millions,6,v95701118,1.1,4288,NA,NA,NA,0
1994-10,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,102.05,NA,NA,NA,2
1994-10,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,95,NA,NA,NA,2
1994-10,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,469050,NA,NA,NA,0
1994-10,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,110484,NA,NA,NA,0
1994-10,Canada,2016A000011124,Non-mortgage loans - national balance sheet,Dollars,81,millions,6,v1038036702,1.15,32378,NA,NA,NA,0
1994-10,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,326188,NA,NA,NA,0
1994-10,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,8615,NA,NA,NA,0
1994-10,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,2884,NA,NA,NA,0
1994-10,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,713,NA,NA,NA,0
1994-10,Canada,2016A000011124,Mortgages - financial flow,Dollars,81,millions,6,v95701118,1.1,5018,NA,NA,NA,0
1995-01,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,102.67,NA,NA,NA,2
1995-01,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,95.59,NA,NA,NA,2
1995-01,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,474231,NA,NA,NA,0
1995-01,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,111241,NA,NA,NA,0
